,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
0,6.4,3.2,4.5,1.5,versicolor
1,6.3,3.3,6.0,2.5,virginica
2,6.2,,5.4,2.3,virginica
3,5.0,3.4,1.6,0.4,setosa
4,5.7,2.6,3.5,1.0,versicolor
5,5.3,,,0.2,setosa
6,6.4,2.7,5.3,,virginica
7,5.9,3.0,5.1,1.8,virginica
8,5.8,2.7,4.1,1.0,versicolor
9,4.8,3.1,1.6,0.2,setosa
10,5.0,3.5,1.6,0.6,setosa
11,6.0,2.7,5.1,1.6,versicolor
12,6.0,3.0,4.8,,virginica
13,6.8,2.8,4.8,1.4,versicolor
14,,3.9,1.7,0.4,setosa
15,5.0,0.0,3.5,1.0,versicolor
16,5.5,,4.0,1.3,versicolor
17,4.7,3.2,1.3,0.2,setosa
18,,4.0,,0.2,setosa
19,5.6,,4.2,1.3,versicolor
20,4.9,3.6,,0.1,setosa
21,5.4,,4.5,1.5,versicolor
22,6.2,2.8,,1.8,virginica
23,6.7,3.3,5.7,2.5,virginica
24,,3.0,5.9,2.1,virginica
25,4.6,3.2,1.4,0.2,setosa
26,4.9,3.1,1.5,0.1,setosa
27,73.0,29.0,63.0,,virginica
28,6.5,3.2,5.1,2.0,virginica
29,,2.8,0.82,1.3,versicolor
30,4.4,3.2,,0.2,setosa
31,5.9,3.2,4.8,,versicolor
32,5.7,2.8,4.5,1.3,versicolor
33,6.2,2.9,,1.3,versicolor
34,6.6,2.9,23.0,1.3,versicolor
35,4.8,3.0,1.4,0.1,setosa
36,6.5,3.0,5.5,1.8,virginica
37,6.2,2.2,4.5,1.5,versicolor
38,6.7,2.5,5.8,1.8,virginica
39,5.0,3.0,1.6,0.2,setosa
40,5.0,,1.2,0.2,setosa
41,5.8,2.7,3.9,1.2,versicolor
42,0.0,,1.3,0.4,setosa
43,5.8,2.7,5.1,1.9,virginica
44,5.5,4.2,1.4,0.2,setosa
45,7.7,2.8,6.7,2.0,virginica
46,5.7,,,0.4,setosa
47,7.0,3.2,4.7,1.4,versicolor
48,6.5,3.0,5.8,2.2,virginica
49,6.0,3.4,4.5,1.6,versicolor
50,5.5,2.6,4.4,1.2,versicolor
51,4.9,3.1,,0.2,setosa
52,5.2,2.7,3.9,1.4,versicolor
53,4.8,3.4,1.6,0.2,setosa
54,6.3,3.3,4.7,1.6,versicolor
55,7.7,3.8,6.7,2.2,virginica
56,5.1,3.8,1.5,0.3,setosa
57,,2.9,4.5,1.5,versicolor
58,6.4,2.8,5.6,,virginica
59,6.4,2.8,5.6,2.1,virginica
60,5.0,2.3,3.3,,versicolor
61,7.4,2.8,6.1,1.9,virginica
62,4.3,3.0,1.1,0.1,setosa
63,5.0,3.3,1.4,0.2,setosa
64,7.2,3.0,5.8,1.6,virginica
