0.0 0x 0y 0z 1x 1y 1z 2x 2y 2z 3x 3y 3z 4x 4y 4z 5x 5y 5z 6x 6y 6z 7x 7y 7z 8x 8y 8z 9x 9y 9z 10x 10y 10z 11x 11y 11z 12x 12y 12z 13x 13y 13z 14x 14y 14z 15x 15y 15z 16x 16y 16z 17x 17y 17z 18x 18y 18z 19x 19y 19z 20x 20y 20z 21x 21y 21z 22x 22y 22z 23x 23y 23z 24x 24y 24z 25x 25y 25z 26x 26y 26z 27x 27y 27z 28x 28y 28z 29x 29y 29z 30x 30y 30z 31x 31y 31z 32x 32y 32z 33x 33y 33z 34x 34y 34z 35x 35y 35z 36x 36y 36z 37x 37y 37z 38x 38y 38z 39x 39y 39z 40x 40y 40z 41x 41y 41z 42x 42y 42z 43x 43y 43z 44x 44y 44z 45x 45y 45z 46x 46y 46z 47x 47y 47z 48x 48y 48z 49x 49y 49z 50x 50y 50z 51x 51y 51z 52x 52y 52z 53x 53y 53z 54x 54y 54z 55x 55y 55z 56x 56y 56z 57x 57y 57z 58x 58y 58z 59x 59y 59z 60x 60y 60z 61x 61y 61z 62x 62y 62z 63x 63y 63z 64x 64y 64z 65x 65y 65z 66x 66y 66z 67x 67y 67z 68x 68y 68z 69x 69y 69z 70x 70y 70z 71x 71y 71z 72x 72y 72z 73x 73y 73z 74x 74y 74z 75x 75y 75z 76x 76y 76z 77x 77y 77z 78x 78y 78z 79x 79y 79z 80x 80y 80z 81x 81y 81z 82x 82y 82z 83x 83y 83z 84x 84y 84z 85x 85y 85z 86x 86y 86z 87x 87y 87z 88x 88y 88z 89x 89y 89z 90x 90y 90z 91x 91y 91z 92x 92y 92z 93x 93y 93z 94x 94y 94z 95x 95y 95z 96x 96y 96z 97x 97y 97z 98x 98y 98z 99x 99y 99z
1390385178.32 277.654 178.827 861 273.774 175.592 855 268.61 174.574 866 263.635 175.954 879 260.335 179.343 881 263.928 180.848 877 268.728 181.164 870 273.634 180.285 863 301.609 178.281 886 305.299 175.043 890 310.697 173.753 897 316.022 174.938 907 319.528 178.097 916 315.762 179.729 904 310.756 180.189 895 305.769 179.546 888 278.244 163.382 863 269.518 161.762 868 259.626 162.096 892 253.874 166.248 892 250.746 171.755 890 252.957 173.081 888 256.5 169.197 888 261.184 166.898 888 269.287 166.781 855 277.344 167.773 857 299.586 162.674 895 308.838 160.706 904 319.431 160.654 921 325.948 164.741 931 329.248 169.767 987 327.157 171.322 993 323.324 167.728 928 317.882 165.672 916 309.243 165.797 902 300.515 167.083 895 283.85 178.337 870 283.056 184.948 872 280.654 190.742 868 276.861 195.777 870 278.06 201.828 872 284.9 201.164 877 290.288 201.024 883 298.6 201.506 886 300.136 195.506 886 296.543 190.627 879 294.815 184.718 879 294.568 178.128 881 274.162 219.852 874 277.91 214.889 874 283.08 211.059 877 288.017 211.966 883 293.114 210.843 886 298.694 214.309 892 303.139 218.969 904 299.496 220.729 897 294.469 222.081 890 288.146 222.712 883 282.022 222.523 877 277.456 221.479 874 278.635 218.857 874 282.429 216.954 877 288.003 216.532 881 293.911 216.66 888 298.555 218.199 895 293.722 216.525 888 288.021 216.419 881 282.679 216.866 877 248.456 181.806 886 248.276 192.388 886 249.375 202.915 892 251.067 213.247 899 253.668 223.06 907 257.77 231.621 928 263.073 237.755 931 269.679 243.009 944 278.129 246.788 944 288.601 248.373 962 299.314 246.577 973 309.089 242.656 998 317.048 236.66 1019 323.365 229.417 1028 327.878 220.139 1040 330.51 210.235 1066 332.32 200.048 0 333.255 189.91 993 333.096 178.922 1001 268.787 178.323 870 310.68 177.447 895 288.255 197.272 877 279.195 158.98 874 269.927 157.31 879 258.117 157.861 895 250.253 163.211 895 246.441 169.5 895 298.854 158.324 897 308.642 156.292 904 321.114 156.394 928 329.519 161.543 0 333.341 167.233 995
1390385178.141 282.951 196.566 904 279.284 193.745 897 274.531 192.889 895 269.937 194.16 911 266.799 197.211 919 270.276 198.517 914 274.729 198.773 907 279.238 197.945 902 305.573 195.841 923 308.955 192.971 928 313.841 191.797 931 318.7 192.797 946 322.014 195.58 952 318.574 197.067 944 314.009 197.525 933 309.441 196.984 928 283.359 181.408 904 275.397 179.995 902 266.487 180.405 928 261.206 184.183 928 258.231 189.138 923 260.062 190.504 921 263.559 186.955 923 268.021 184.846 921 275.367 184.668 892 282.716 185.515 895 303.459 180.626 933 311.641 178.76 941 321.024 178.626 962 326.977 182.177 973 330.198 186.638 0 328.479 188.274 0 324.744 185.063 965 319.722 183.284 946 312.013 183.479 939 304.241 184.736 933 288.992 195.952 911 288.392 202.059 911 286.25 207.451 907 282.67 212.111 909 284.003 217.659 911 290.82 216.905 911 295.974 216.737 921 303.729 217.123 923 305.039 211.577 921 301.391 207.075 919 299.515 201.655 919 299.019 195.633 919 280.448 233.796 911 284.186 229.254 911 289.197 225.732 916 293.905 226.503 921 298.622 225.431 926 304.029 228.513 933 308.413 232.732 944 304.85 234.52 939 300.137 235.813 933 294.268 236.446 919 288.446 236.326 911 283.914 235.411 911 284.392 232.881 909 288.469 231.111 914 293.977 230.69 921 299.709 230.739 928 304.367 232.13 933 299.564 230.733 928 293.986 230.687 921 288.665 231.135 914 255.086 199.889 921 255.148 209.692 921 256.302 219.29 928 258.074 228.731 933 260.745 237.614 936 264.843 245.282 949 270.231 250.869 952 276.855 255.579 970 285.082 258.935 976 295.091 260.166 995 305.122 258.381 1016 314.096 254.575 1037 321.393 248.963 1053 327.101 242.178 1066 330.934 233.829 1076 333.042 224.883 0 334.41 215.675 0 334.96 206.53 0 334.529 196.638 0 274.718 196.226 904 313.888 195.07 931 293.734 213.33 916 284.19 177.362 914 275.712 175.902 909 265.037 176.528 931 257.865 181.402 931 254.285 187.058 931 302.635 176.633 933 311.317 174.697 946 322.439 174.675 962 330.182 179.154 984 333.927 184.207 0
1390385178.266 285.909 197.831 954 282.341 195.2 949 277.762 194.422 957 273.334 195.692 968 270.281 198.681 973 273.742 199.796 970 278.045 199.966 962 282.364 199.144 957 307.684 197.056 976 310.923 194.38 978 315.604 193.277 984 320.288 194.254 993 323.515 196.945 998 320.178 198.27 990 315.771 198.653 981 311.393 198.127 976 286.179 182.881 954 278.44 181.661 968 269.847 182.248 984 264.831 186.049 984 262.041 190.909 981 263.814 192.11 978 267.181 188.562 978 271.478 186.42 976 278.555 186.135 954 285.646 186.843 944 305.577 182.087 987 313.408 180.38 995 322.422 180.38 1010 328.124 183.924 1022 331.2 188.288 0 329.514 189.802 1019 325.91 186.583 1013 321.099 184.783 1001 313.696 184.899 990 306.263 186.045 984 291.801 197.107 962 291.281 202.723 962 289.25 207.666 957 285.873 212 959 287.251 217.195 959 293.8 216.131 962 298.727 215.954 968 306.149 216.601 976 307.4 211.391 973 303.836 207.203 970 301.947 202.269 970 301.38 196.759 973 284.16 232.754 962 287.554 228.068 965 292.309 224.431 970 296.84 225.098 973 301.338 224.103 976 306.531 227.283 981 310.621 231.653 990 307.321 233.09 987 302.859 234.17 976 297.318 234.728 968 291.779 234.712 962 287.41 234.025 962 288.041 231.702 965 291.714 229.736 965 296.958 229.204 970 302.378 229.355 976 306.598 230.961 984 302.208 229.335 976 296.964 229.201 970 291.947 229.746 965 259.103 201.726 978 259.195 210.899 976 260.287 219.859 984 261.985 228.691 990 264.542 237.018 993 268.452 244.186 1001 273.766 249.418 1016 280.354 253.761 1019 288.492 256.852 1025 298.325 257.926 1034 308.126 256.202 1056 316.864 252.588 1076 323.936 247.269 1093 329.344 240.772 1114 332.76 232.952 1136 334.517 224.584 0 335.632 215.996 0 335.96 207.512 0 335.363 198.331 0 277.972 197.591 965 315.669 196.37 984 296.536 213.018 965 286.881 179.046 962 278.628 177.789 973 268.308 178.624 987 261.48 183.53 987 258.125 189.079 984 304.809 178.302 990 313.138 176.528 993 323.867 176.655 1013 331.32 181.12 1034 334.904 186.062 0
1390385178.329 289.141 198.029 1019 285.795 195.568 1019 281.546 194.843 1022 277.448 196.13 1031 274.697 199.076 1034 277.879 200.011 1031 281.848 200.095 1022 285.844 199.281 1019 309.41 197.129 1034 312.465 194.571 1037 316.838 193.48 1044 321.224 194.444 1047 324.202 197.074 1060 321.079 198.254 1044 316.962 198.587 1040 312.883 198.113 1034 289.447 184.358 1010 282.161 183.33 1010 274.057 184.102 1040 269.392 187.807 1044 266.896 192.476 1040 268.586 193.566 1037 271.64 190.084 1037 275.603 187.933 1037 282.287 187.535 1013 288.987 188.116 1007 307.239 183.403 1050 314.737 181.824 1053 323.419 181.963 1066 328.82 185.41 1079 331.682 189.601 1086 330.089 190.996 1083 326.664 187.822 1069 322.092 186.014 1056 314.966 186.077 1047 307.845 187.17 1044 294.488 197.261 1025 293.896 202.294 1019 291.913 206.668 1019 288.718 210.56 1022 289.932 215.374 1022 296.087 214.354 1022 300.613 214.153 1031 307.844 214.724 1034 309.043 209.886 1034 305.72 206.196 1028 303.968 201.868 1031 303.455 196.898 1031 286.6 229.973 1019 289.952 225.408 1019 294.541 221.943 1025 298.934 222.537 1028 303.36 221.559 1034 308.54 224.531 1040 312.727 228.703 1050 309.281 229.966 1044 304.857 230.868 1031 299.412 231.377 1025 294.085 231.488 1019 289.855 231.022 1019 290.043 228.892 1019 293.821 226.932 1019 299.055 226.383 1028 304.572 226.464 1034 309.095 227.984 1044 304.438 226.414 1034 299.084 226.286 1028 294.025 226.896 1022 264.777 202.22 1037 264.644 210.66 1040 265.464 218.88 1047 266.834 227.071 1050 269.018 234.952 1056 272.518 241.755 1066 277.389 246.6 1076 283.511 250.567 1073 291.17 253.336 1076 300.435 254.309 1090 309.789 252.763 1104 318.269 249.564 1125 325.142 244.66 1144 330.326 238.583 1167 333.537 231.148 0 335.115 223.195 0 336.068 215.077 0 336.281 207.13 0 335.649 198.501 0 281.775 197.879 1025 316.883 196.456 1040 298.734 211.489 1025 290.062 180.795 1022 282.266 179.734 1031 272.537 180.772 1047 266.216 185.549 1047 263.209 190.881 1047 306.585 179.894 1050 314.585 178.25 1056 324.886 178.531 1069 331.863 182.867 1093 335.163 187.605 0
1390385178.375 289.472 198.141 1037 286.213 195.889 1037 282.115 195.244 1047 278.152 196.475 1053 275.443 199.255 1053 278.568 200.099 1050 282.406 200.161 1044 286.274 199.38 1040 309.708 197.163 1056 312.681 194.766 1060 316.886 193.74 1066 321.121 194.622 1066 324.074 197.085 1076 321.019 198.204 1066 317.021 198.533 1060 313.065 198.107 1056 289.788 184.567 1028 282.936 183.619 1050 275.382 184.388 1060 270.871 187.774 1063 268.344 192.075 1060 269.755 193.335 1060 272.871 190.089 1056 276.811 188.086 1056 283.106 187.68 1034 289.469 188.202 1028 307.499 183.54 1069 314.536 182.02 1073 322.702 182.131 1083 327.934 185.223 1093 330.857 189.049 1097 329.53 190.602 1093 326.012 187.673 1086 321.491 186.039 1073 314.717 186.13 1069 307.963 187.199 1060 294.883 197.367 1044 294.235 202.176 1040 292.25 206.436 1040 289.051 210.306 1044 290.321 214.912 1044 296.495 213.865 1044 301.018 213.649 1050 308.208 214.202 1056 309.427 209.533 1056 306.075 205.901 1050 304.287 201.72 1050 303.694 196.98 1053 286.983 228.925 1040 290.374 224.458 1040 294.935 221.095 1044 299.293 221.611 1047 303.653 220.669 1053 308.865 223.524 1060 313.148 227.578 1069 309.61 228.802 1060 305.217 229.632 1053 299.804 230.132 1047 294.518 230.283 1040 290.305 229.895 1037 290.24 227.876 1037 294.19 225.918 1040 299.436 225.342 1047 304.976 225.41 1053 309.694 226.897 1060 304.853 225.363 1053 299.464 225.229 1047 294.377 225.879 1040 265.49 202.518 1060 265.317 210.61 1063 266.045 218.443 1069 267.382 226.284 1073 269.538 233.838 1079 273.003 240.378 1090 277.914 245.133 1100 284.078 248.965 1093 291.712 251.624 1097 300.881 252.491 1104 310.172 251.026 1122 318.615 247.93 1140 325.529 243.169 1159 330.719 237.223 1187 333.879 230.091 0 335.441 222.414 0 336.335 214.594 0 336.492 206.92 0 335.826 198.675 0 282.33 198.081 1047 316.947 196.528 1063 299.105 211.1 1047 290.431 181.155 1034 283.069 180.168 1053 273.978 181.183 1069 267.925 185.552 1069 264.911 190.463 1069 306.783 180.188 1073 314.323 178.594 1076 324.026 178.824 1093 330.741 182.715 1111 334.094 187.036 0
1390385178.438 290.52 197.465 1076 287.37 195.197 1079 283.325 194.513 1086 279.384 195.641 1090 276.666 198.288 1090 279.708 199.173 1086 283.515 199.283 1083 287.353 198.582 1079 310.005 196.863 1093 312.964 194.569 1097 317.139 193.639 1104 321.288 194.555 1107 324.114 196.977 1114 321.106 198.018 1107 317.173 198.272 1100 313.283 197.797 1097 291.07 184.931 1066 284.248 183.902 1079 276.691 184.49 1100 272.175 187.746 1100 269.63 191.93 1097 271.109 193.027 1093 274.143 189.936 1097 278.001 188.055 1093 284.276 187.774 1076 290.589 188.373 1066 308.268 184.253 1107 315.277 182.893 1111 323.333 183.091 1122 328.41 186.211 1136 331.129 190.014 1140 329.671 191.329 1133 326.43 188.456 1125 322.094 186.807 1114 315.444 186.8 1107 308.763 187.71 1100 295.731 196.804 1079 295.073 201.467 1076 293.107 205.517 1076 289.938 209.158 1079 291.032 213.614 1083 296.981 212.692 1079 301.436 212.548 1086 308.255 213.196 1097 309.469 208.749 1093 306.341 205.236 1086 304.733 201.186 1086 304.309 196.567 1090 287.595 227.279 1079 290.859 222.95 1076 295.327 219.726 1083 299.543 220.287 1086 303.814 219.463 1090 308.654 222.332 1097 312.471 226.379 1107 309.287 227.674 1100 305.117 228.597 1093 299.806 229.073 1083 294.592 229.076 1076 290.587 228.458 1076 290.922 226.341 1076 294.546 224.392 1079 299.58 223.875 1083 304.818 224.068 1090 309.032 225.683 1100 304.691 224.402 1090 299.611 224.293 1083 294.743 224.75 1079 266.788 201.093 1100 266.553 208.907 1100 267.245 216.544 1107 268.507 224.152 1111 270.562 231.463 1114 273.863 237.825 1129 278.471 242.44 1129 284.279 246.245 1129 291.541 248.949 1129 300.358 249.969 1140 309.264 248.611 1151 317.311 245.656 1171 323.875 241.105 1183 328.888 235.454 1187 332.106 228.588 0 333.844 221.236 0 334.953 213.729 0 335.331 206.37 1191 334.902 198.424 1208 283.48 197.268 1086 317.134 196.336 1104 299.57 210.089 1083 291.74 181.652 1076 284.446 180.586 1086 275.402 181.387 1104 269.354 185.575 1107 266.319 190.344 1104 307.659 181.018 1107 315.141 179.601 1114 324.689 179.94 1129 331.213 183.873 1151 334.345 188.176 0
1390385178.485 290.436 198.151 1093 287.361 195.909 1097 283.406 195.217 1104 279.557 196.337 1107 276.896 198.982 1111 279.928 199.793 1107 283.64 199.881 1100 287.359 199.209 1097 309.227 197.683 1111 312.109 195.462 1114 316.184 194.585 1118 320.236 195.546 1122 323.002 197.984 1129 320.04 198.921 1122 316.202 199.104 1114 312.422 198.605 1111 291 186.102 1086 284.302 185.097 1090 276.897 185.713 1114 272.483 188.957 1118 270.008 193.096 1114 271.506 194.108 1111 274.468 191.036 1111 278.244 189.159 1111 284.378 188.874 1090 290.539 189.466 1090 307.496 185.548 1118 314.328 184.292 1129 322.199 184.609 1136 327.155 187.776 1151 329.824 191.577 1155 328.34 192.824 1151 325.165 189.907 1144 320.942 188.202 1125 314.443 188.109 1125 307.956 188.923 1114 295.452 197.504 1097 294.819 201.949 1097 292.926 205.768 1097 289.952 209.234 1097 291.031 213.534 1100 296.737 212.546 1097 301.004 212.44 1104 307.623 213.238 1111 308.81 208.944 1111 305.787 205.548 1104 304.202 201.725 1104 303.748 197.319 1107 287.918 227.097 1097 290.923 222.665 1097 295.188 219.408 1100 299.286 219.951 1104 303.409 219.2 1111 308.113 222.167 1114 311.749 226.374 1125 308.735 227.526 1118 304.713 228.368 1111 299.62 228.773 1104 294.608 228.754 1097 290.74 228.166 1097 291.221 226.101 1093 294.525 224.055 1097 299.364 223.514 1100 304.395 223.816 1111 308.3 225.61 1114 304.269 224.267 1111 299.399 224.097 1100 294.75 224.528 1097 267.615 201.759 1114 267.321 209.312 1114 267.902 216.714 1125 269.083 224.14 1129 271.035 231.321 1129 274.228 237.594 1148 278.731 242.112 1148 284.448 245.814 1148 291.599 248.448 1148 300.243 249.491 1155 309.042 248.229 1171 317.001 245.464 1187 323.477 241.098 1204 328.375 235.611 1204 331.443 228.887 1208 332.983 221.685 0 333.939 214.336 0 334.163 207.186 1208 333.623 199.496 1221 283.573 197.935 1104 316.178 197.236 1118 299.234 210.156 1104 291.608 182.929 1086 284.438 181.886 1107 275.565 182.722 1122 269.646 186.896 1125 266.691 191.617 1122 306.933 182.401 1125 314.232 181.093 1133 323.576 181.566 1140 329.962 185.549 1159 333.039 189.842 1216
1390385178.625 289.815 195.494 1159 286.872 192.945 1159 282.953 192.112 1163 279.186 193.42 1167 276.786 196.477 1171 279.531 197.295 1167 283.143 197.331 1163 286.794 196.607 1159 307.523 195.12 1171 310.447 192.587 1175 314.583 191.57 1187 318.603 192.76 1191 321.041 195.623 1195 318.17 196.535 1191 314.39 196.659 1183 310.643 196.101 1175 290.907 185.782 1148 283.957 184.76 1159 276.12 185.516 1175 271.506 188.96 1179 269.095 193.412 1175 270.956 194.342 1175 273.631 191.039 1171 277.281 188.955 1175 283.768 188.588 1163 290.213 189.209 1155 305.787 185.163 1179 313.141 184 1191 321.613 184.634 1204 326.659 188.142 1204 329.077 192.265 1216 327.305 193.302 1208 324.401 190.109 1204 320.203 188.116 1191 313.257 187.856 1187 306.377 188.606 1175 294.237 195.022 1159 293.354 199.323 1155 291.358 202.821 1155 288.606 206.096 1159 289.378 210.527 1159 294.645 209.787 1159 298.41 209.685 1159 304.951 210.334 1171 306.255 205.979 1171 303.822 202.823 1167 302.535 199.309 1167 302.319 194.933 1171 285.118 225.045 1159 288.275 220.432 1155 292.585 217.161 1155 296.767 217.768 1159 301.188 217.03 1167 305.806 220.024 1171 309.353 224.366 1187 306.165 225.157 1179 302.013 225.742 1171 296.717 226.029 1159 291.731 226.127 1155 287.942 225.757 1159 288.474 223.911 1155 291.818 221.858 1155 296.697 221.346 1159 301.843 221.639 1167 305.929 223.374 1175 301.695 221.73 1167 296.743 221.459 1159 292.017 221.96 1155 267.983 198.827 1179 267.112 206.537 1179 267.225 214.365 1187 267.819 222.355 1200 269.209 230.371 1216 272.078 237.477 1221 276.072 242.03 1216 281.344 245.681 1208 288.295 248.076 1204 296.651 249.262 1208 305.374 248.15 1221 313.566 245.872 1238 320.166 241.628 1247 325.172 236.167 0 328.586 228.583 0 330.331 220.558 1536 331.432 212.462 0 331.77 204.723 1265 331.352 196.461 1294 283.135 195.21 1159 314.425 194.619 1183 297.178 207.256 1159 291.489 182.542 1148 284.059 181.485 1159 274.799 182.482 1183 268.722 186.867 1187 265.825 191.923 1187 305.492 181.974 1187 313.354 180.768 1195 323.255 181.622 1216 329.545 186.017 0 332.278 190.663 1289
1390385178.719 288.91 195.911 1175 285.953 193.659 1175 282.162 192.974 1179 278.52 194.179 1183 276.109 196.928 1183 278.931 197.684 1179 282.449 197.707 1175 285.972 196.997 1175 306.48 195.239 1187 309.243 192.926 1191 313.142 191.952 1200 317.006 192.916 1208 319.549 195.403 1208 316.79 196.339 1204 313.176 196.557 1195 309.567 196.115 1191 289.593 185.431 1167 283.024 184.52 1167 275.729 185.273 1191 271.401 188.518 1191 269.055 192.636 1191 270.637 193.597 1187 273.39 190.519 1191 276.99 188.582 1191 283.048 188.193 1171 289.115 188.718 1171 304.554 184.665 1195 311.271 183.364 1208 319.038 183.666 1216 323.885 186.737 1225 326.478 190.469 1225 324.985 191.654 1221 321.94 188.791 1216 317.867 187.1 1212 311.465 187.058 1200 305.122 187.948 1195 293.458 195.291 1175 292.838 199.569 1171 291.05 203.14 1171 288.294 206.367 1171 289.271 210.572 1175 294.794 209.798 1175 298.732 209.65 1175 305.151 210.084 1187 306.213 205.882 1187 303.399 202.801 1187 301.874 199.287 1183 301.405 195.026 1183 285.707 223.743 1171 288.893 219.548 1171 293.15 216.514 1171 297.245 217.029 1175 301.399 216.218 1179 306.126 218.834 1191 309.937 222.686 1204 306.726 223.868 1195 302.676 224.689 1187 297.592 225.116 1175 292.643 225.2 1171 288.753 224.743 1171 288.691 222.748 1171 292.354 220.881 1171 297.332 220.375 1175 302.535 220.496 1183 306.823 221.981 1191 302.457 220.833 1183 297.38 220.757 1175 292.52 221.217 1171 267.296 199.445 1191 266.909 206.886 1195 267.383 214.223 1204 268.416 221.675 1204 270.242 228.989 1208 273.419 235.362 1221 277.731 239.626 1216 283.198 243.046 1212 290.098 245.313 1212 298.333 246.217 1221 306.739 244.93 1229 314.404 242.372 1252 320.571 238.154 1261 325.221 232.846 0 328.168 225.945 1542 329.524 218.608 0 330.284 211.155 0 330.327 204.01 1284 329.66 196.345 1304 282.376 195.755 1175 313.119 194.681 1195 297.113 207.287 1175 290.115 182.347 1167 283.084 181.405 1171 274.408 182.396 1200 268.687 186.551 1195 265.894 191.239 1200 304.04 181.622 1204 311.221 180.265 1208 320.382 180.717 1221 326.549 184.57 1238 329.515 188.78 1299
1390385178.766 288.897 196.04 1175 285.962 193.807 1175 282.196 193.115 1179 278.563 194.274 1187 276.138 196.953 1187 278.944 197.73 1183 282.445 197.781 1175 285.96 197.099 1175 306.464 195.448 1191 309.226 193.179 1191 313.108 192.238 1200 316.951 193.193 1208 319.494 195.638 1212 316.735 196.567 1208 313.133 196.777 1200 309.539 196.327 1191 289.578 185.469 1167 283.085 184.52 1171 275.864 185.203 1191 271.564 188.378 1191 269.212 192.427 1191 270.748 193.403 1191 273.512 190.384 1191 277.1 188.503 1191 283.092 188.165 1175 289.096 188.726 1171 304.6 184.772 1200 311.267 183.495 1208 318.966 183.797 1221 323.773 186.841 1229 326.351 190.536 1234 324.887 191.723 1229 321.851 188.892 1221 317.797 187.218 1216 311.447 187.165 1200 305.141 188.033 1195 293.445 195.436 1175 292.812 199.715 1175 291.012 203.299 1175 288.213 206.518 1175 289.161 210.701 1175 294.689 209.983 1179 298.66 209.853 1179 305.089 210.296 1187 306.161 206.121 1191 303.328 203.023 1187 301.821 199.475 1183 301.379 195.209 1187 285.593 223.672 1175 288.797 219.562 1171 293.055 216.597 1175 297.123 217.134 1175 301.251 216.34 1187 305.976 218.938 1191 309.799 222.742 1204 306.578 223.986 1200 302.528 224.835 1191 297.446 225.256 1179 292.498 225.291 1175 288.625 224.765 1175 288.532 222.734 1171 292.223 220.915 1171 297.199 220.448 1175 302.413 220.581 1183 306.731 222.059 1200 302.344 220.983 1183 297.249 220.91 1175 292.383 221.318 1171 267.411 199.414 1195 267.02 206.799 1195 267.488 214.058 1204 268.516 221.42 1204 270.324 228.633 1208 273.451 234.924 1216 277.715 239.199 1216 283.114 242.663 1212 289.927 245.004 1212 298.101 245.956 1221 306.462 244.716 1229 314.082 242.171 1256 320.24 237.992 1261 324.91 232.738 1270 327.897 225.954 1549 329.317 218.719 0 330.138 211.358 0 330.247 204.277 1289 329.649 196.661 1309 282.388 195.85 1175 313.081 194.921 1200 297.039 207.474 1179 290.129 182.409 1171 283.178 181.425 1171 274.58 182.332 1200 268.884 186.401 1204 266.084 191.015 1200 304.083 181.747 1204 311.208 180.415 1212 320.293 180.867 1229 326.416 184.689 1243 329.368 188.857 1309
